epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5914,0.55553,4.14292,0.68011,0.60137,1.04175,0.99725,1,0.995,0.88248,0.99725,1,0.995,0.2128,0.52276,3.31994,0.63566,0.78165,1.07382,0.000663333,0.000663333,0.000663333
2,51.0489,0.38292,1.89519,0.5648,0.32008,0.95966,0.99741,1,0.995,0.99003,0.99741,1,0.995,0.42437,0.31435,2.4938,0.52602,0.35881,1.00951,0.00119833,0.00119833,0.00119833
3,76.9663,0.38148,1.44995,0.48049,0.30641,0.92824,1,1,0.995,0.91854,1,1,0.995,0.4823,0.30847,1.79179,0.42136,0.33492,1.00537,0.00160133,0.00160133,0.00160133
4,103.318,0.33421,0.91785,0.40023,0.26755,0.9259,1,1,0.995,0.93926,1,1,0.995,0.82833,0.37096,1.07548,0.33768,0.42435,1.01942,0.001406,0.001406,0.001406
5,129.367,0.28513,0.53929,0.3713,0.24607,0.92441,1,1,0.995,0.9916,1,1,0.995,0.91736,0.26193,0.56426,0.28373,0.29622,0.99924,0.001208,0.001208,0.001208
6,162.397,0.25368,0.39907,0.34697,0.22128,0.91776,1,1,0.995,0.9548,1,1,0.995,0.91736,0.28295,0.45032,0.26983,0.2709,0.99618,0.00101,0.00101,0.00101
7,188.96,0.23375,0.32257,0.31306,0.1973,0.91098,1,1,0.995,0.995,1,1,0.995,0.93669,0.12862,0.44373,0.26512,0.19825,0.97768,0.000812,0.000812,0.000812
8,214.192,0.19476,0.27238,0.31178,0.17835,0.89727,1,1,0.995,0.995,1,1,0.995,0.96499,0.17342,0.348,0.25798,0.25333,0.97867,0.000614,0.000614,0.000614
9,237.666,0.16597,0.24703,0.31161,0.1599,0.89319,1,1,0.995,0.995,1,1,0.995,0.95524,0.16,0.29694,0.2612,0.26605,0.97987,0.000416,0.000416,0.000416
10,260.716,0.14014,0.21871,0.29685,0.13825,0.89507,1,1,0.995,0.995,1,1,0.995,0.95422,0.13509,0.31405,0.25895,0.24309,0.97693,0.000218,0.000218,0.000218
